subscriptions,latestDate
https://mikanani.me/RSS/Bangumi?bangumiId=2970&subgroupid=357,2023-04-09 09:22:42.373000
https://mikanani.me/RSS/Bangumi?bangumiId=2995&subgroupid=477,2023-04-13 08:27:12.164000
https://mikanani.me/RSS/Bangumi?bangumiId=2996&subgroupid=382,2023-04-09 12:56:00
https://mikanani.me/RSS/Bangumi?bangumiId=3005&subgroupid=583,2023-04-10 21:00:02.344000
